meta_ad_id,audit_creative_signature,final_classification,final_manual_category
1488324239320552,72d6d7c9002a845282972483c2259bb25bf9ab6ae0177852bde581fea855f00d,commercial,sustainability_brand
1644751846770157,72d6d7c9002a845282972483c2259bb25bf9ab6ae0177852bde581fea855f00d,commercial,sustainability_brand
1476447146860985,05e9ab68a13f0426339178caf9d09a82037c9d0111f15e09dd2aa9f93c5adf2e,commercial,sustainability_brand
963782343179058,3bff386464ad537d5e9cfe95a9f08b8ffa35ce12e4a8d7dfbd169561445e8b7c,commercial,commercial_or_insufficient_evidence
1507032850765164,52693b758cffbf96aa862ec08155901d88c75abfd35ddf52f4e380f1dda4b7d7,commercial,commercial_or_insufficient_evidence
2077476386183070,f03e413e36e0ad70fe6d2e0c12ef297ae56058b6012aeda1038a310f2918511d,commercial,sustainability_brand
1248737323915102,0b22d94da6c58c3ed54b5a7b7ce00759e6e9eed6dba9f50de871346a1fa7627d,commercial,sustainability_brand
939642695514610,d2e7c8384d215eef262c0dd9f6f984993459970fafb496c976ebc3e950efe23c,commercial,sustainability_brand
1963042660982092,baddeb861a0d823bbf2b0a4fdfe951a1d49dca811d85363f6359e6c984c568b9,commercial,sustainability_brand
982623337494448,aa75145ac0edfb573a5f293693d0548596ec917dd4bc0cb15ceec6505c4a2fb8,commercial,commercial_or_insufficient_evidence
1847894929235196,530a20a9b76cb1a426ce707f0de1a6e824643073e55b25779fa24274e5bb13d7,commercial,commercial_or_insufficient_evidence
1446526106799475,d710c8069f1c5a930ccd22b1c442394d5ec45e2d9797e2252828604c26bc692a,commercial,sustainability_brand
1512706380490330,f1371661c9a0bb9ee5bc569163420e4c6abc8d091ba44219f3ae0d39d323f771,commercial,sustainability_brand
2635328886861726,4111dedd9b496b60144c5a85f4e26353be5087d146df7fef535418ebf43a1572,commercial,commercial_or_insufficient_evidence
1630090994801628,3d4e72d1dc13437d82abf7a305eeffca070eacaea66dc7ec378b65e7bd7c83d1,commercial,commercial_or_insufficient_evidence
1677153906962996,40c6bae1242a775352ce00d17b6d1f331855d14968d884dcf7dba91b7383845c,commercial,commercial_or_insufficient_evidence
4505700739755311,391a84e798d6b750c5a9253ecb5d92c4d8fa4cae033b0339a3f1b75c4915cfb3,commercial,sustainability_brand
983310274244123,68ef9bb66693e747ce107882265e796cbfd7a349d04dd764ad3eb31ae5a1e92d,commercial,sustainability_brand
1651894929184036,55ab0653d438e94918355c35c4c885eb54a77e242299d223a434327a9ad62e8d,commercial,sustainability_brand
1704440950721768,d0a2fd468e308c1d778db5eb751d416d850794ac38ac4229d070d93969a43803,commercial,sustainability_brand
1402094485005877,0c20e8d923ff398e86f1225c2fa030c9b74875477c8167cb8aabd306e587253a,commercial,sustainability_brand
881643551595930,9703ffff57188e684dfcf308666b51058199f39051d5b5f2437468e79304f055,commercial,commercial_or_insufficient_evidence
1478048817322041,9703ffff57188e684dfcf308666b51058199f39051d5b5f2437468e79304f055,commercial,commercial_or_insufficient_evidence
1492444102445180,9703ffff57188e684dfcf308666b51058199f39051d5b5f2437468e79304f055,commercial,commercial_or_insufficient_evidence
