creative_signature_hash,target_gender,target_ages,platform_category,search_brand,sector,age_scope,configuration_ad_id_count,de_male,de_female,de_unknown,de_age_13_17,de_age_18_24,de_age_25_34,de_age_35_44,de_age_45_54,de_age_55_64,de_age_65_plus,de_age_unknown,known_gender_reach,known_adult_reach,female_delivery_share,adult_18_34_share,gender_data_usable,age_data_usable,has_unknown_gender,has_unknown_age
004486cd3c0aa9a813985e3fc1957e52673459a30dd8748ad5ef18b47f881dfd,All,"[""18"",""65""]",Instagram-only,Edeka Südwest,grocery,Broad,2,37413.0,24298.0,1447.0,0.0,22039.0,22543.0,8097.0,5038.0,3879.0,1562.0,0.0,61711.0,63158.0,0.3937385555249469,0.705880490199183,1,1,1.0,0.0
0046f6a4c4de5d880b5f167e60f00fddfe096ffd57f747b9daf5e4e06d3a2c4a,Men,"[""18"",""54""]",Both,Zalando,fashion,Narrow,4,1922664.0,5.0,3.0,0.0,316892.0,674493.0,548665.0,382478.0,0.0,142.0,2.0,1922669.0,1922670.0,2.600551629011546e-06,0.5156293071613953,1,1,1.0,1.0
0046f6a4c4de5d880b5f167e60f00fddfe096ffd57f747b9daf5e4e06d3a2c4a,Men,"[""18"",""54""]",Other,Zalando,fashion,Narrow,4,14680.0,0.0,0.0,0.0,663.0,1985.0,3098.0,8893.0,0.0,41.0,0.0,14680.0,14680.0,0.0,0.18038147138964578,1,1,0.0,0.0
0046f6a4c4de5d880b5f167e60f00fddfe096ffd57f747b9daf5e4e06d3a2c4a,Women,"[""18"",""54""]",Other,Zalando,fashion,Narrow,8,1.0,987011.0,2.0,0.0,245502.0,331555.0,213726.0,195834.0,0.0,394.0,3.0,987012.0,987011.0,0.9999989868410921,0.5846510322579992,1,1,1.0,1.0
0048e9c983d917a5f0feea5693011318af25f561960b641f91f9515cbb0e09fc,All,"[""18"",""65""]",Both,Edeka Südwest,grocery,Broad,1,2350.0,1704.0,1288.0,0.0,1030.0,1614.0,1001.0,725.0,552.0,420.0,0.0,4054.0,5342.0,0.4203256043413912,0.494945713216024,1,1,1.0,0.0
004bbea9157c5c499821fb2d744eaf020faac0da0da336dabc46a6d109010e57,All,"[""18"",""65""]",Instagram-only,dm,health_beauty,Broad,1,1205.0,12078.0,49.0,0.0,656.0,2372.0,2148.0,2574.0,3791.0,1791.0,0.0,13283.0,13332.0,0.9092825415945193,0.22712271227122713,1,1,1.0,0.0
004e4b6b374edd8375f3f36fe1a9c3939533a6f56560444160c1b26775758d0f,All,"[""18"",""65""]",Both,OBI,home,Broad,3,1418845.0,646625.0,343884.0,0.0,387767.0,600064.0,495265.0,389976.0,364555.0,171689.0,38.0,2065470.0,2409316.0,0.31306433886718277,0.4100047482355988,1,1,1.0,1.0
0059f29085078735896137275d853a1b7e06534cdd0daf43879b298c9e572968,Men,"[""18"",""54""]",Both,Zalando,fashion,Narrow,1,54936.0,0.0,0.0,0.0,17109.0,26220.0,8691.0,2916.0,0.0,0.0,0.0,54936.0,54936.0,0.0,0.7887177806902578,1,1,0.0,0.0
005cd3739e73c5890060781e44e8f0ca959264c6450c5510b81227245eb9216c,All,"[""18"",""65""]",Instagram-only,dm,health_beauty,Broad,6,2116401.0,681607.0,959664.0,0.0,1097424.0,1405468.0,574383.0,335954.0,242174.0,102146.0,123.0,2798008.0,3757549.0,0.24360437854359243,0.6660969690614813,1,1,1.0,1.0
005fad9cec99b5b831f8d88b4b15acbfebb500ea16907931022fdacb4f963b9f,All,"[""18"",""65""]",Instagram-only,Lidl,grocery,Broad,1,23827.0,45346.0,807.0,0.0,12429.0,13649.0,8483.0,10234.0,16198.0,8966.0,21.0,69173.0,69959.0,0.655544793488789,0.37276118869623637,1,1,1.0,1.0
